,HE Provider,Country,Female,Male,Other
10,Queen's University Belfast,Northern Ireland,8490.0,6945.0,0.0
124,St Mary's University College,Northern Ireland,635.0,230.0,0.0
136,Stranmillis University College,Northern Ireland,855.0,245.0,0.0
147,Ulster University,Northern Ireland,8210.0,6610.0,0.0
